,fp16,fp32,int16,int8
seq_1,22.66,35.49,382.93,14.02
seq_2,23.25,40.53,381.01,13.41
seq_4,24.08,43.52,380.17,13.27
seq_8,24.02,42.15,388.7,13.62
seq_16,14.88,50.23,392.96,12.29
seq_32,15.19,35.94,395.23,12.48
seq_64,15.86,51.57,399.54,13.2
seq_128,17.83,40.02,,12.47
seq_256,22.26,61.41,,15.0
seq_512,31.7,80.46,,17.53
seq_1024,48.11,100.17,,24.11
