,fp16,fp32,int16,int8
seq_1,0.58,0.55,0.66,0.58
seq_2,0.44,0.59,0.7,0.58
seq_4,0.5,0.62,0.76,0.56
seq_8,0.47,0.7,0.8,0.47
seq_16,0.55,0.54,0.91,0.86
seq_32,0.74,0.88,0.7,0.79
seq_64,1.01,1.26,1.04,0.57
seq_128,1.24,1.68,2.38,1.12
seq_256,1.78,4.29,5.58,1.58
seq_512,4.82,11.4,19.45,3.2
seq_1024,11.34,28.71,88.73,11.0
