,fp32,fp16,int8,int16
seq_1,0.01,0.02,0.01,0.01
seq_2,0.08,0.06,0.06,0.05
seq_4,0.27,0.23,0.27,0.18
seq_8,1.21,0.97,1.2,0.7
seq_16,2.57,5.13,4.24,2.89
seq_32,10.76,17.55,13.73,12.68
seq_64,25.92,35.73,57.16,35.69
seq_128,86.4,107.24,176.56,58.94
seq_256,120.35,323.0,352.58,112.24
seq_512,185.12,451.79,603.19,
seq_1024,299.42,763.31,749.78,
