,fp32,fp16,int8
seq_1,148.89,49.62,45.3
seq_2,169.92,56.33,49.3
seq_4,162.52,54.3,48.24
seq_8,174.99,55.5,48.22
seq_16,145.9,48.92,46.52
seq_32,123.36,46.94,47.5
seq_64,136.55,49.35,49.53
seq_128,170.71,50.63,63.24
seq_256,212.61,74.15,110.31
seq_512,248.11,113.61,114.09
seq_1024,322.99,162.17,143.84
