,fp16,fp32,int8
seq_1,0.99,0.48,2.18
seq_2,1.94,0.99,4.41
seq_4,3.72,1.93,8.8
seq_8,7.92,3.87,18.93
seq_16,24.83,8.46,35.53
seq_32,46.69,16.83,68.39
seq_64,89.08,34.12,152.95
seq_128,179.08,62.43,293.97
seq_256,297.76,112.96,520.75
seq_512,574.84,181.31,1053.35
seq_1024,525.06,300.01,1466.84
