,fp16,fp32,int8
1,91.28,189.09,41.35
2,93.03,182.61,40.9
4,96.91,186.44,41.0
8,91.1,186.45,38.11
16,58.1,170.6,40.61
32,61.81,171.47,42.19
64,64.79,169.14,37.73
128,64.45,184.9,39.26
256,77.53,204.36,44.33
512,80.32,254.65,43.83
1024,175.87,307.8,62.95
